Density,Young's Modulus,Yield Strength,Tensile Strength,Fatigue Strength,Specific Heat,Coefficient of Thermal Expansion,"Aluminum, Al","Carbon, C","Chromium, Cr","Cobalt, Co","Iron, Fe","Manganese, Mn","Molybdenum, Mo","Nickel, Ni","Niobium, Nb (Columbium, Cb)","Silicon, Si","Titanium, Ti","Boron, B","Copper, Cu","Phosphorus, P","Sulfur, S","Zirconium, Zr","Tungsten, W","Vanadium, V","Beryllium, Be",Nb + Ta,"Nitrogen, N",Y2O3
8.44,0.37277932336964076,1.307985429719613,1.157378624097934,48.78,-0.5930662583982019,-0.4312715055027512,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,-0.7623977062214714,-0.32876541751937965,49.02,-0.5930662583982019,-0.3673692628188459,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,-0.2565654627813201,0.02162626708958047,48.87,-0.5930662583982019,-0.3557791501751987,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,0.24926678065883123,0.19078087345252673,48.78,-0.5930662583982019,-0.3689354942571816,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.23073015117847984,0.9291994241667555,0.47592720989292187,49.77,0.6569253818816186,-0.6348815924857991,0.8,0.08,17.0,1.0,17.0,0.35,2.8,50.0,4.75,0.35,0.65,0.006,0.3,0.015,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.31951088379795545,0.962137337693091,0.5073416367888977,49.14,0.2569280569920761,-2.514359318482975,0.0,0.01,14.5,2.5,4.0,1.0,15.0,57.0,0.0,0.08,0.0,0.0,0.0,0.025,0.01,0.0,3.0,0.35,0.0,0.0,0.0,0.0
8.28,0.3550231768457457,-0.7741612467665911,-0.4858375519992583,49.5,1.4539200517240431,1.0879729896782768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0
8.44,0.37277932336964076,-0.5035998142288358,-0.15961081115643339,49.02,-0.5930662583982019,-0.28655172060097217,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.72,0.23073015117847984,-1.011784765778011,-0.9618869441921214,49.41,1.3069210348271254,5.786667304671212,0.0,0.0,10.0,0.0,0.0,0.0,0.0,89.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,-0.6447623007702734,-0.20794069868870374,49.02,-0.5930662583982019,-0.3081657144499422,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,-0.433018570958117,-0.15961081115643339,49.02,-0.5930662583982019,-0.27934705598464976,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.43,0.8486440502100302,0.846854640350917,0.5097581311655112,49.5,-0.24606857905654891,-0.4284522889137759,0.0,0.025,19.0,33.0,1.0,0.15,9.0,33.0,0.0,0.15,1.0,0.01,0.0,0.015,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,-0.3389102465971587,0.009543795206512877,48.87,-0.5930662583982019,-0.3557791501751987,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,-0.7623977062214714,-0.32876541751937965,49.02,-0.5930662583982019,-0.3673692628188459,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.22,0.31951088379795545,-0.2565654627813201,-0.2731860468572687,49.17,0.9779232351054837,2.6542044280092556,0.0,0.1,22.0,1.5,18.0,1.0,9.0,47.0,0.0,1.0,0.0,0.008,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,-0.7153435440409922,-0.2683530581040417,49.02,-0.5930662583982019,-0.37112821827083986,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
